Review,Label
"যেতে যেতে পথে বসন্তের এই দিনে দেখা হয়ে যায় আবারও  My Chef এর সাথে।
রাস্তার পাশ দিয়ে হেটে যাওয়ার সময় নজর করার মত একটি পরিবেশ। বিশেষ করে তাদের বাহিরের আপনার প্রি়জনদের সাথে সুন্দর কিছু মুহূর্তের পিক তোলার জন্য বেস্ট। আর তাদের ভিতরের ইন্টেরিওর টা বেশ ইউনিক,আপনার ফ্রেন্ড, ফ্যামিলি ওভারঅল সবার সাথেই পিক তোলার জন্য বেস্ট একটু ডেকোরেশন। আর তাদের রেস্টুরেন্ট এর বয়স বেশিদিন হই নি। এই অল্পকয়েকদিনের মধ্যেই তাদের এই ইন্টেরিয়র আর ফুড কোয়ালিটির জন্য বিশেষ ভাবে পরিচিত লাভ করে ফেলেছে।
এবার আসি খাবার এর কথায়। খাবার এর দিক দিয়েও তারা কোনো অংশে কম নয়। তাদের মেনু থেকে আমি অর্ডার করলাম আমার বাজেট এর মধ্যে সেট মেনু (F)। এর মধ্যে ছিলো:-
⚫থাই ফ্রাইড রাইস
⚫বিফ সিজলিং
⚫থাই ফ্রাইড চিকেন(1psc)
⚫চিকেন মিক্সড ভেজটেবল
⚫সালাদ
⚫ড্রিংকস
ওভারঅল সব মিলিয়ে টেস্ট এর কথা বলতে গেলে আমার খাওয়া বেস্ট সেট মেনু ছিলো। সব গুলার টেস্ট একদম অসাধারণ ছিলো।
রেটিং দিলে আমি ১০ এ ৯.৫ দিবো।
প্রাইস ছিলো: (৩১০৳)",0
"💝💝Color Cafe💝💝 - সত্যি অসাধারন!!
            ✌🏽✌🏽⛲⛲✌🏽✌🏽
জ্বী হ্যা আমি নিজে গিয়ে খাবার খেয়ে তারপর লিখতে বসলাম 😊😊
গত কাল ২ টা রিভিউ দেখে একবার ভেবেছিলাম হুদাই গিয়া মুড টা খারাপ করুম না, পরে ভাবলাম আর কিছু না হোক গিয়া কয়েকটা ফটো তুইলা কমের উপর দিয়া খাইয়া আসি লল 😆😆 কারন একটা বেপার আমি পুরা খেয়াল করলাম যেই সব ভাইয়েরা বা বোনেরা 💕Color Cafe💕 রে গালি দিয়া ফাটাই ফেলতাছে উনাদের বেশিরভাগই নিজেদের ফেইসবুক আর ইন্সটাগ্রামে 💚Color Cafe💚 এর কালার দিয়া ভইরা রাখছে 🤳🤳
তখন বুঝলাম আমরা তো বাঙালি জাতি। নিজের টা ঠিকই ষোল আনা বুঝি। নিজেরা গেছেন, লাইনে দারাইয়া পিক তুলছেন, তারপর খাইছেন, মনের শখ মিটাইছেন এখন বাকিরা না যাক ওইটা নিয়া বেপক সময় নষ্ট করতাছেন। এত কথা লিখতাম না, লিখলাম একটাই কারন আজকে যদি উনাদের নেগেটিভ রিভিউ পইরা 💖Color Cafe💖 তে না জাইতাম তাইলে চরম মিস করতাম। 🤡🤡
♦️♦️এইবার আসি আসল কথায় অনেক ভয়ে ভয়ে আশেপাশের লোক জনের টেবিল এর খাবার দেইখা সিদ্ধান্ত নিলাম আমরা ৩ জন মিল্লা  পিজা খামু যা আছে কপালে 🍕🍕 অর্ডার করলাম  ✔️Color Cafe Special Pizza 9""✔️। অর্ডার নেয়ার সময় বলল ৪০ মিনিট লাগবে 😡। অামি কইলাম ভাই অন্য জায়গায় এতখনে তো ২ টা পিজা দিয়া দিবো ওয়েটার এর সোজা উত্তর স্যার অামরা কাষ্টমার এর অর্ডার এর পর খাবার বানাই পিজার রুটি বেলতেও তো ১০ মিনিট লাগে। অামি ভাবলাম কি অাছে এই 💙Color Cafe💙 তে আজকে দেইখাই যামু। অর্ডার করার ৩০ মিনিট পর পিজা নিয়া অাসল। পিজা দেইখাই বুঝলাম আজকে অামার ভাগ্য ভালো। 🍕পিজ্জার অর্ধেক এর বেশি খাইলাম অার বাকীটা পার্সেল দিতে কইলাম। বেষ্ট পিজা ইন খিলগাঁও। পিজার ব্রেড ওয়েল কুকড, উপরের চিজটা ছিল অসাধারণ, ভিতরের ইনগ্রেডিয়েন্ট ছিল বেস্ট 🍕। 
♻️উল্লেখ্য, আমার কাছে মনে হইল টেস্ট ১০/১০। দাম নিল ৬৮০ টাকা, ও বলে রাখি উনাদের মেনু প্রাইস এ যা দাম তার সাথে কোন এক্সটা ভ্যাট নাই। 💯💯
তো কি হইল ব্যাপার টা -
🌐পরিবেশ - ১০/১০
♨️খাবার - ১০/১০
💵দাম - ৬৮০ টাকায় ৯"" পিজারে ঐ রকম জায়গা ও পরিবেশে যদি কেউ দাম বেশি বলে তাইলে উনার যায়গা গুলিস্তান, ৯০ টাকায় ১২"" অনায়াসে পাইয়া যাবেন। 
সব শেষে একটা কথা বলি,
💞Color Cafe💞 নিসন্দেহে অনেক সুন্দর একটা জায়গা, মানুষকে তারা নতুন কিছু দেয়ার চেষ্টা করেছে। ভুল ত্রুটি সব খানেই অাছে। আমরা হুজুগে বাঙালিরা মানুষের ছোট ছোট দোষ গুলোকে মাফ করতে জানি না। আসুন আমরা মানুষের ভালো কাজকে বাহবা জানাতে শিখি। না হোলে আমাদের দেশের যেই গুটি কয়েক লোক মানুষকে ভালো কিছু দেয়ার চেষ্টা করে যাচ্ছে তারা হারিয়ে যাবে 👏🏽👏🏽 — at Color Cafe",0
"রাজা রাজ্য দখল করবে এটাই সাভাবিক,
কিন্তু বিগত কিছু দিন ধরে রানী রাজ্য দখলের কাজ হাতে নিয়েছে। কি দিন আইলো, বুঝি নাহ🤣
Burger Queen Mohammadpur
 মিরপুরে এতো দিন রাজত্ব করে এখন মোহাম্মদপুরে। তাই ভাবলাম এবার একটু তার রাজ্য দেখিয়া আসি। 😊
প্রথমে খুজে পেতে একটু কষ্ট হলেও পরে ঠিকমতো পেয়ে গেলাম। মোহাম্মদপুর কেন্দ্রীয় কলেজের পাশেই।
ইন্টেরিয়র নিয়ে নিয়ে মাথা ব্যাথা একটু বেশি আমার। তাই আগে আসি ইন্টেরিয়রের কথায়। কম জায়গার মধ্যে অনেক ভালো ইন্টেরিয়র ছিলো আমার মতে।
__________________
কালা মানিকের দেশে যাবো, আর কালো মানিকের স্বাদ নিবো নাহ, তা কি করে হয়!😊
নিয়েছিলাম একটি ব্লাক বার্গার(৯৫টাকা) এবং একটি বেঙ্গাবয়েজ বার্গার(৭০টাকা)। স্বাদ আগের মতো রয়েছে বলবো নাহ। আগের থেকে মনে হলো আরো ভালো লেগেছে।
আর এটিতেও থাকছে কাপলদের জন্যে আলাদা #কাপল_জোন।",0
"রামেন😋

I think It's a best ramen in town....💘

Buy 1 Get 1 অফার শুনেই দৌড় দিলাম রেস্টুরেন্টে রামেনের জন্যে

বরাবরের মত রামেন এর প্রতি একটা আলাদা আকর্ষণ ছিল...এখন থেকে স্পাইসি রামেন মানেই ওয়ার্ল্ড কুইজিন! 

রামেন টা যখন অর্ডার করলাম নরমাল ই লাগছিল। কিন্তু যখন টেস্ট করলাম it was too xoss😋

রামেনের প্রাইজ ছিল ৩০০ টাকা (Buy 1 Get 1)

Then,  একটা নরমাল কফি অর্ডার দিয়েছিল। it was also xoss😘

ওখানে ভাইয়াদের বিহেভিয়ারও অনেক ভালো ছিল।

Ramen: 9.5
Coffee :8
Behaviour :10/10

World cuisine restaurant (Stadium, opposite of circuit house... Kazir dewri)",0
"Rashi is not allow at Taste Blast ™️.🙂
🟥 490 Taka Buffet per person in dhanmondi
🔴40+ delicious & mouthwatering Items.
📞 Hotline: +880 1733-510443
🕰 Time:-
Lunch- 1:00PM-4:00PM
Dinner- 7:00PM-10:00PM
📍location : Level 10, 736 rangs kB square, dhanmondi 9/A , Satmasjid road, dhaka.
GOOGLE MAP LINK : https://rb.gy/xn6nkd
🛑 Book your table as soon as possible. 
👶 children policy: 50% less than actual price.
Age limit : 3 - 6 years.
✅ We are taking private events.
Taste blast buffet menu: 
Appetiser
1. Wonton
2. BBQ hot wings  
3. veg pakora/piyaju
Soup 
1.Thik Thai Soup
2.Spicy Corn Soup 
Thai dish 🇹🇭 
1. Fried rice
2. Mixed chow-mein
3. Thai fried chicken
4. Chinese vegetables /Swatted vegetables
5. Chicken chilli onion/Sweet & sour chicken
6. Garlic crab. 
7. Fish curry.
8. prown curry.
Indian dish 🇮🇳 
1. Beef Bhuna / Beef chilli onion (Thai Dish)
2. Chicken biriyani / Tehary
3. Dal butter fry
4. Luchi 
5.Tandoori Chicken 
6.indian rice.
Italian dish 🇮🇹 ( any 1) 
1. White cream pasta
2. Naga pasta 
Salad
1. Coleslaw
2. Mixed salad
3. Potato salad/Harwain Salad
4. Green salad
5. Chick peas salad
6. Dabri/Chana chat salad
Sauce
1. Tomato sauce
2. Red chili sauce
Pickles
1. Mango pickles
2. Special pickles
Fruits 
2 types of seasonal fruits
Dessert 
1. Khunafa.
2. Rice pudding
3. jelly
4. Mousse
5. Shahi tukra 
6.fruits custard...
Drink ( drinks unlimited) 
1. Coke
2. Sprite 
3. Mineral water.
🎉 You can host:
👉 Anniversaries
👉 Birthdays
👉 Get Together
👉 Corporate Parties
👉 And many more!
#Best_Buffet_In_Town
#Buffet_Rusturet
#Best_Buffet_Near_Dhanmondi
#Buffet #Dhanmondi #birthday #Wedding #events #corporate",0
"""Street food at home😋
|| Easy but Delicious Egg Chicken Roll ||
কলকাতা স্টাইল এগ চিকেন রোল
Part 1- এই পার্ট এ শুধু গপ্পো 
..............................
সেই দিনগুলো কে খুউউউউউব  মিস করি, যখন আমি কলেজ/ ইউনিভার্সিটি থেকে বেরিয়ে রীতিমত বাস এ করে গিয়ে Park street এ নামতাম  শুধুমাত্র """"Hot Kati Roll"""" খাবো বলে।
এতটাই ভালোবাসতাম এই রোল খেতে, যে মাঝে মাঝে একা একাই চলে যেতাম! খেতে ইচ্ছা করছে, ব্যস আমি যাব, সাথে কেউ থাকুক আর না থাকুক। 😁
 এখন যেখানে থাকি, তার ঠিক পাশে একটা """"Mart"""" আছে, সেখানে আবার রীতিমত signboard দেওয়া একটা ছোট্ট দোকান আছে, যেখানে দিব্যি বড় বড় করে লেখা, """"Kolkata style Kati Roll"""".সে রোলে কলকাতা র রোল এর যথেষ্ট potentiality আছে । মানে kolkata Kati roll লতা হলে, এখানকার টা শ্রেয়া।  যাই  হোক, আমরা প্রায়ই সেটা খেতাম সন্ধ্যেবেলায়। 
 কিন্তু এখানে আসার কয়েক মাস যেতে না যেতেই তো হয়ে গেলো, সেই সুখের ইতি। Lockdown. Boom!
কিন্তু আমার আর আমার 'Partner in Crime' এর জিভ তো সেকথা শুনবে না! তারা চিকেন রোল খাওয়ার জন্য ছটফট করতে লাগলো।
 তাই এক রবিবার এর বিকেলে বানিয়ে ফেললাম, Egg-Chicken Roll! একদম perfect. 
Part-2 এ রেসিপি দেবো। কথা দিচ্ছি সেদিন এতওওও গল্প না করে একদম সোজা রেসিপি দেবো. সেটা একদম failproof রেসিপি হবে। 😍
Stay tuned!
😋ও হ্যাঁ, Instagram এও আমাদের Follow করতে পারেন @bong_food_corner এ!""",0
"Street food heaven in Kolkata বলতে আমি ডেকার্স লেন-ই বুঝি......
আর ডেকার্স লেন-এর সবথেকে ব্যস্ততম দোকান যেটা তার নাম #চিত্ত_বাবুর_দোকান❣️
আর এই চিত্ত বাবুর দোকানে সবথেকে জনপ্রিয় খাবার গুলির মধ্যে হলো (চিকেন স্টু - পাউরুটি ১০০ টাকা) ও (ঘুগনি - পাউরুটি ২৩ টাকা) 😮
Video link :- https://youtu.be/RS8egmQ7Eak",0
"Roadside kitchen মানে একটা ধামাকা অফারের রাজ্যে স্বাগতম মিরপুর মানেই অফার আর অফার মানেই রোডসাইড কিচেন!
২২% ডিসকাউন্ট পাবেন এখানে ২২তারিখে!!
মিরপুরের ভিতরে তাদের খাবার এর অনেক নাম ডাক আছে তাদের রুফটপ হওয়াতে এখন পুরাই বিন্দাস লাগে।
দেখতে যেমন সুন্দর হয়েছে তখন ছবি তুললে পুরাই আগুন আগুন লাগে!
আগুন নিভাতে ফায়ার সার্ভিস লাগে। 😂😂
সবকিছু মিলিয়ে পারফেক্ট মনে হলো এটা মিরপুর 1 নাম্বার ঈদগা মাঠের পাশেই।",0
"RoadSide Kitchen 
#OwnerPost 
বার্গার বৃত্তান্ত 
➖➖➖➖➖➖➖➖➖ 
২৫০ টাকার বাজেট ফ্রেন্ডলী প্লেটার 
➖➖➖➖➖➖➖➖➖ 
➖➖➖➖➖➖➖➖➖ 
বার্গার বৃত্তান্তঃ রিটার্নস 
👉 চীজি মাশরুম চিকেন বার্গার 
👉 হানি গ্লেজ্ড মাশরুম 
👉 ফ্রেঞ্চ ফ্রাইস 
👉 হানি মাস্টার্ড সস্ 
➖➖➖➖➖➖➖➖➖ 
বার্গার বৃত্তান্তঃ সাটার ক্লোস 
👉 চীজি সসেজ চিকেন বার্গার 
👉 স্মোকি সসেজ স্টিক * ৩ স্টিকস 
👉 ফ্রেঞ্চ ফ্রাইস 
👉 হানি মাস্টার্ড সস্ 
👉 কলেস্লো সালাদ 
➖➖➖➖➖➖➖➖➖ 
লোকেশনঃ মিরপুর 1 সনি হল থেকে চিড়িয়াখানা রোড ঈদগা মাঠের অপর সাইডে — at RoadSide Kitchen.",0
"#রিভিউ দেখে বিরক্ত?
তাহলে সময় থাকলে আমার মতো ঘুরে আসতে পারেন অপরিচিত একটি রেস্টুরেন্টে।
ধানমন্ডিতে ফুড আর্ট খুব কমই দেখা যায়। তবে চাইলে খুঁজে পাওয়াটা অসম্ভব কিছু নয়। তাই আমি খুঁজে পেয়ে গেলাম আর্ট অফ ফুড কে। চমৎকার একটি রেস্টুরেন্ট। ভিতরে নজরকারা সাজসজ্জা আর মনোরোম পরিবেশ যেকারো মনকে আকর্ষণ করবেই। তো সেখানে গিয়ে দেখি লাইভ মিউজিকও রয়েছে। তো সেখানে মেনু দেখে অর্ডার করলাম তাদের #Platter 4. 
তারা অর্ডার নিয়ে চলে গেলো আর আমি বসে বসে গান উপভোগ করছিলাম। মনে হলো লাইভ আরজিৎ সিং এর গান শুনছি।
১৫/২০ মিনিট পর চলে এলো খাবারটি। তারা খুব সুন্দর করে খাবার পরিবেশন করে যা খাবারটি কে উপভোগ করার মজা আরো বাড়িয়ে দেয়। 
যা নিয়েছিলাম-
✔️ Platter - 4 
- 1pc spice taco,
- 1pc burrito 
- Mexican rice 
- Chiken steak
- Mexican salsa 
- Chef made sos
স্বাদ: ৮/১০
 খাবার যথেষ্ট ভালো ছিলো 😊
পরিবেশ: ১০/১০ (প্রথমেই বললাম যে কারোই মন আকর্ষণ করবে)
সার্ভিস: ১০/১০ (তারা খুব আন্তরিক 😊, ডাকার সাথে সাথেই গুরত্ব দিচ্ছিলো)
আইটেম: Platter 4
দাম: ৪২০/- টাকা
লোকেশান: Art Of Food, 8th Floor, KB Square, Dhanmondi, Dhaka.",0
